game_id,year,date,time,matchup,division,bracket,venue,status,request,coordination_note
cmmbe40zz0006hxphcs5yw4a5,2025,2025-06-27,08:00,"Class 79/80 vs Class 84/85",Gold,,FD Jungle,final,stream_url
cmmbe422a000chxphf6xwlcwg,2025,2025-06-27,09:10,"Class 02/04 vs Class 2013",Maroon,,FD Jungle,final,stream_url
cmmbe42uz000ihxphska5lmdu,2025,2025-06-27,10:20,"Class 2025 vs Class 2016/17",Maroon,,FD Jungle,final,stream_url
cmmbe4if1003chxph49kawvn4,2025,2025-06-30,08:00,"Class 2020 vs Class 2021",Maroon,,FD Jungle,final,stream_url
cmmbe4j5l003ihxphufs6p1i5,2025,2025-06-30,09:10,"Class 2024 vs Class 12 Pack",Maroon,,FD Jungle,final,stream_url
cmmbe4k4q003ohxphfqp65dl6,2025,2025-06-30,10:20,"Class 98 vs Class 99/01/03",Gold,,FD Jungle,final,stream_url
cmmbe4kv5003uhxphcizp5rig,2025,2025-07-01,08:00,"Class 84/85 vs Class 96/97",Gold,,FD Jungle,final,stream_url
cmmbe4llu0040hxphnjglph25,2025,2025-07-01,09:10,"Class 2007 vs Class 2006",Maroon,,FD Jungle,final,stream_url
cmmbe4mcm0046hxphbzlzfr4f,2025,2025-07-01,10:20,"Class 2023 vs Class 2025",Maroon,,FD Jungle,final,stream_url,requires_score_confirmation_too
cmmbe4n9p004chxphjg6mcxf5,2025,2025-07-02,08:00,"Class 79/80 vs Class 1988",Gold,,FD Jungle,final,stream_url
cmmbe4o0h004ihxph365w1vau,2025,2025-07-02,09:10,"Class 1991 vs Class 1989",Gold,,FD Jungle,final,stream_url
cmmbe4pim004uhxphl7yi6y0q,2025,2025-07-03,08:00,"Class 75 vs Class 82/86/AD7/92",Gold,,FD Jungle,final,stream_url
cmmbe4q8t0050hxphj1c7oxpk,2025,2025-07-03,09:10,"Class 98 vs Class 430-5",Gold,,FD Jungle,final,stream_url
cmmbe4qze0056hxphfp0zc3cr,2025,2025-07-03,10:20,"Class 2014 vs Class 2018/19",Maroon,,FD Jungle,final,stream_url
cmmbe5ehq00a6hxphr0a09vw2,2025,2025-07-10,10:20,"Class 2013 vs Class 2025",Maroon,,FD Jungle,final,stream_url
